# БАЗА_002_АВТОМАТИЗАЦИЯ

ОПИСАНИЕ:
Автоматизация определяет степень автоматизации процессов на борту техники и требуемую численность экипажа для управления с нормальной эффективностью.

ПРАВИЛА:
- Минимальный экипаж равен половине указанного значения.
- Для морских судов экипаж увеличивается в 2 раза.
- Улучшение автоматизации позволяет использовать значение экипажа на 1 класс ниже.
- При использовании экипажа более лёгкого класса стоимость автоматизации увеличивается в 2 раза.

ФОРМАТ:
ОК | Экипаж | Класс_техники

1 | 1-2 | Легкий
2 | 3-4 | Легкий
5 | 5-10 | Средний
4 | 11-17 | Средний
7 | 18-65 | Тяжелый
6 | 66-500 | Тяжелый
4 | 501-2000 | Сверхтяжелый
3 | 2001-4000 | Сверхтяжелый
2 | 4001-8000 | Сверхтяжелый
1 | 8001-12000 | Сверхтяжелый
0 | 12001-25000 | Сверхтяжелый
