# БАЗА_006_АВТОНОМНОСТЬ

ОПИСАНИЕ:
Автономность отражает, сколько времени техника может действовать на собственных запасах топлива, энергии, расходных материалов и ресурсов СЖО без пополнения.

ФОРМАТ:
ОК | Время_автономности | Класс

0 | 1 день | Любой
1 | 2 дня | Любой
2 | 3 дня | Любой
3 | 1 неделя | Легкий
4 | 2 недели | Легкий
5 | 3 недели | Средний
6 | 1 месяц | Средний
7 | 2 месяца | Средний
8 | 3 месяца | Средний
9 | 6 месяцев | Средний
10 | 9 месяцев | Тяжелый
11 | 1 год | Тяжелый
12 | 1,5 года | Тяжелый
13 | 2 года | Тяжелый
14 | 3 года | Тяжелый
15 | 4 года | Тяжелый
16 | 5 лет | Сверхтяжелый
17 | 10 лет | Сверхтяжелый
