# БАЗА_010_ЩИТЫ

Силовые поля (щиты)
Технология защитных силовых полей стала незаменимым помощником как в военном деле, так и в промышленности и транспорте защищая корпуса кораблей и наземной техники от кинетического и энергетического урона, так же позволяя снижать сопротивление воздуха во время прохода через плотные атмосферы миров, снижая нагрузку на обшивку.
Стоимость в очках конструкции многоядерных щитов за сам модуль. Генераторы устанавливаются согласно классу и включаются в стоимость по общим правилам. Магнитные щиты имеют прочность щитов представленных ниже, но не имеют ОБ, стоимость в ОК /2.
Очки конструкции | Прочность/Очки брони поля | Класс
0 | 0 | любой
1 | 2024-10-10 00:00:00 | любой
2 | 2024-10-15 00:00:00 | любой
3 | 20/10 | любой
4 | 20/15 | любой
5 | 25/15 | любой
7 | 30/15 | любой
10 | 30/20 | любой
15 | 30/25 | любой
20 | 30/30 | любой
30 | 40/35 | любой
40 | 50/35 | любой
60 | 50/40 | любой
180 | 100/50 | Сверхтяжелый
240 | 200/50 | Сверхтяжелый
