# БАЗА_012_УЗЛЫ_ВООРУЖЕНИЯ_И_ДОПОЛНИТЕЛЬНЫХ_СИСТЕМ

ОПИСАНИЕ:
Вооружение и дополнительные системы размещаются в специальных узлах.
Узел включает необходимый объём, массу, механизмы наведения, питание, боекомплект и прочие обслуживающие системы.

Если свободных узлов недостаточно, владелец техники может пожертвовать внутренним тоннажем.
Стоимость конвертации:
1 тонна внутреннего объёма = 1 дополнительный узел.

Представленные значения показывают количество очков размещения, доступных для установки вооружения и дополнительных систем.

ФОРМАТ:
ОК | Узлы_размещения | Класс

0 | 0 | -
1 | 1-4 | -
2 | 5-8 | -
3 | 9-13 | -
6 | 14-18 | -
9 | 19-32 | Легкий, Средний
12 | 33-46 | Легкий, Средний
17 | 47-60 | Легкий, Средний
22 | 61-90 | Средний
32 | 91-150 | Средний
42 | 151-210 | Тяжелый
57 | 211-270 | Тяжелый
72 | 271-360 | Тяжелый
92 | 361-450 | Тяжелый
110 | 451-550 | Тяжелый
135 | 551-700 | Тяжелый
