Функционал
Название | Стоимость, узлы (лёг/сред/тяж) | Описание | Редкость | Начальная стоимость
Пассажиры и грузы
Анабиозные камеры | 1 | Отсеки для размещения капсул анабиоза, погружающих людей в состояние сна на длительное время, и обеспечивающих сохранение их тел до пробуждения. Стоимость указана за отсек на 5 человек | 2 | 500
Спасательные капсулы (одноместные) | 2 | Компактные спасательные модули для одного человека, имеют много общего с анабиозными капсулами, погружая спасаемого человека в сон после занятия или по команде человека. Запаса энергии и питательных растворов хватает на неделю. Один модуль содержит две капсулы. | 1 | 1 000
Спасательные капсулы (6 человек) | 4 | Компактные спасательные модули для пяти человек, имеют много общего с анабиозными капсулами, погружая спасаемых в сон после занятия или по команде человека. Запаса энергии и питательных растворов хватает на месяц. Один модуль содержит две капсулы. | 1 | 5 000
Пассажирские места | 1 | Кресла для посадки людей, расчитанные на относительно короткие перелеты, и одним с/у. Стоимость указана на 5 посадочных мест | 0 | 200
Массовые каюты | 1 | Просторное помещение забитое двух, а порой и трёхэтажными койками, рассчитано на максимально плотное размещение пассажиров без комфорта. Один модуль на 24 человека, 2 совмещённых сан узла. | -1 | 400
Каюты | 2 | Стандартная каюта: двухэтажные койки, шкафчики, стол, стулья, терминал, совмещённый с душевой с/у, который часто размещён в отдельном коридоре для пользования несколькими каютами. Рассчитана на 4 человека. | 0 | 500
Комфортабельные каюты | 4 | Каюта на одного-двух человек повышенного комофорта, отличается от стандартной наличием размещённых внутри раздельного с/у, холодильника, стиральной машины, микроволновки и чайника | 1 | 2 000
Раскошные каюты | 10 | Мини-квартира на 2-3 человека, отдельные комнаты, кухня, сан узел, бар, холодильник. | 1 | 10 000
Казармы пехоты | 3 | Специальное помещение для размещения одного пехотного отделения (10 человек) со всем необходимым: двух этажные койки, общий сан узел, душевая, кухонный автомат, место приёма пищи, оружейная комната, верстаки для ремонта и обслуживания оружия и снаряжения. | 1 | 5 000
Казармы сатурнов | 10 | Отдельное помещение для размещения операторов экзо-брони, оснащено: тремя каютами  (2 по 2 человека и 1 одноместная) с сан узлами (общими для двух кают и отдельной в одноместной), кухонным автоматом и местом приёма пищи, станками для обслуживания экзо-брони, оружейной комнатой, верстаками для обслуживания и ремонта оружия и снаряжения. | 3 | 20 000
Столовая | 4 | Помещение для приёма пищи больших групп людей. Включает 4 раздатчика порций, 1 автокухню, 24 посадочных места в виде 4 столов по 6 мест. | 0 | 1 000
Зона отдыха | 10 | Помещение с барной стойкой, несколькими столиками,  мини-кухней, запасом напитков, еды, а так же большим телевизором для просмотра передач или фильмов. Вмещает до 20 человек | 0 | 2 000
Скрытые грузовые отсеки | 1 на тонну груза | Скрытые грузовые отсеки нужны для сокрытия груза от обнаружения как досмотровыми группами так и от сенсоров. Тесты обнаружения сокрытых в таких грузовых отсеках грузов -30. | 3 | 2 000
Внешние грузовые отсеки | 0/1/2 | Внешнее грузовые отсеки для космических полётов. Стоимость указана за малый/средний/крупный отсек которые могут разместить внутри 10 тонн (3 метровый)/20 тонн(5 метровый)/40 тонн (20 метровый). ОБ 20, Прочность 20, Контейнеры при желании можно сбросить за СД. Каждый четвёртый отсек снижает маневренность на 5. | -1 | 500/1000/1500
Внешние сферо-баки | 0/1/2 | Внешние сферо-баки для перевозки и хранения жидкостей или газов под давлением. Стоимость зависит от размера: малый (5 метров/33 м³), средний (10 метров/268 м³), крупный (30 метров/14 140 м³). ОБ 20, Прочность 20, Контейнеры при желании можно сбросить за СД. Каждый четвёртый отсек снижает маневренность на 5. | -1 | 500/1000/5000
Внешние масс-контейнеры | 4 | Внешние массивные контейнеры для грузов предназначенные для Тяжёлых+ космических  судов. Средние на 500 тонн (50 метровые) каждый, Крупные (Тяжёлые + класс) на 5 000 тонн (200 метров) каждый . Размещены снаружи и прикрыты только полем корабля. ОБ контейнера 20, Прочность 30. Контейнеры при желании можно сбросить за СД. Каждый четвёртый отсек снижает маневренность на 5. | 2 | 5000/8000
Система быстрого сбоса груза | - | Система позволяет быстро выбросить из грузовых отсеков содержимое, в случае необходимости. Активация за СД. | 0 | 500
Дополнительный функционал
Автопилот (гражданский) | - | Система автоматического управления техникой гражданского образца, позволяет заместить пилота на компьютер управления. Автопилот может вести технику по заданному маршруту, огибать препятсвия, избегать столкновений, но не может вести огонь из бортового вооружения. Смена маршрута занимает час программированияю. Для этого требуется 5 успехов в тесте ТехЮз +0. | 3 | 5 000
Автопилот (Военный) | 1+1 за каждые 5 человек экипажа. | Боевая система управления техникой с вооружением, полностью убирает потребность машины в экипаже, использует характеристики черты Автономная для ведения боя (если такой черты у техники нет, то наделяет её таковой с рейтингом 40). Техника дистанционно корректируется с помощью терминала связи в пределах до 0,5 с, Обладает 5 уровнем кибер-защиты. Может выполнять встроенные программы действий (Патруль, Ликвидация, Движение с атакой на ходу, движение в точку с уклонением) | 4 | 50 000
Ангарный отсек | 10 | Специальное место для хранения, обслуживания и ремонта МЛА и наземной техники. Занимает до половины грузового пространства. Стоимость указана за каждые 100 тонн отведенные для техники. Может размещать внутри технику на два размера меньше чем носитель, ангары станций могут размещать технику на 1 размер меньше своего. | 1 | 10 000
Внешний док | 10 | Док для приёма и обслуживания кораблей представляет собой стыковочные штанги и захваты, позволяющие выполнять доковые работы.  Тесты обслуживания и ремонта кораблей +30, можно стыковать корабли на 2 размера меньше носителя. | 3 | 100 000
Автоматизация постов | 1 | Замена членов экипажа на постах автоматическими системами управления, нельзя уменьшить численность экипажа меньше 1. Один модуль заменяет 5 членов экипажа. | 1 | 4 000
Мед пункт | 1 | Небольшое помещение для оказания первой помощи и лечения простых травм и ранений. Тесты Первой помощи +30, Медики +20, имеет 2 мед кровати. | 2 | 8 000
Мед отсек | 2 | Медицинский отсек с капсулами авто-дока, для оказания помощи экипажу и пассажирам. Один отсек рассчитан на 5 мед кроватей, 1 капсулу авто-дока. | 3 | 25 000
Мед палуба | 20 | Медицинская палуба это просторное помещение, которое является аналогом полноценной больницы. Имеет приёмный покой, палаты терапевтического и хирургического профиля, палату реанимации и интенсивной терапии. Рассчитана палуба на 50 пациентов (мед кровати), 5 капсул авто-дока. | 4 | 200 000
Система ДУ | 1 | Система дистанционного управления техникой, позволяет управлять машиной удалено, используя терминал управления. Дистанция зависит от сенсоров контрольной техники, к которой поключен терминал. Когда управляемая техника выходит из зоны действия сенсоров, техника выполняет последнее распоряжение. | 2 | 5 000
Стыковочный порт | 1 | Стандартный стыковочный порт для стыковки двух кораблей (челноков или подводных аппаратов). Воздушный шлюз имеет встроенную систему дегазации, дезактивации и дезинфекции, а так же 6 лёгких скафандров | 2 | 500
Модуль авторемонта | 2/5/10 | Система контроля повреждений, которая автоматически стабилизирует системы техники, и проводит мелкий ремонт с помощью малых ремонтных дронов. Техника получает черту Саморемонт | 2 | 5 000
